Parameter,Variation,Total Cost,Total Quantity,Num Plants Used
Transportation Cost,-20%,18517.36928,5791.0,19
Transportation Cost,-10%,20832.040439999997,5791.0,19
Transportation Cost,+10%,25461.382759999997,5791.0,19
Transportation Cost,+20%,27776.053919999995,5791.0,19
Plant Capacity,-20%,18517.369280000003,4632.8,19
Plant Capacity,-10%,20832.040440000033,5211.9000000000015,19
Plant Capacity,+10%,25461.382759999986,6370.099999999999,19
Plant Capacity,+20%,27776.053920000017,6949.200000000001,19
Demand,-20%,23146.711600000002,5791.0,19
Demand,-10%,23146.711600000002,5791.0,19
Demand,+10%,23146.711600000002,5791.0,19
Demand,+20%,23146.711600000002,5791.0,19
