,precision,recall,f1-score,support
0,0.8461538461538461,0.2972972972972973,0.44000000000000006,37.0
1,0.9622641509433962,0.8095238095238095,0.8793103448275862,63.0
2,0.990990990990991,0.9166666666666666,0.9523809523809523,120.0
3,1.0,0.9130434782608695,0.9545454545454545,23.0
4,1.0,0.7333333333333333,0.846153846153846,15.0
5,0.7435897435897436,0.5272727272727272,0.6170212765957446,110.0
6,0.8132530120481928,0.627906976744186,0.7086614173228346,215.0
micro avg,0.8763796909492274,0.6809605488850772,0.7664092664092664,583.0
macro avg,0.9080359633894528,0.6892920412998415,0.7711533274037741,583.0
weighted avg,0.8670557840845257,0.6809605488850772,0.7561640897198056,583.0
samples avg,0.6809605488850772,0.6809605488850772,0.6809605488850772,583.0
